# name                                     |distance |dist_change |power |accuracy |complexity |stam_cost |time_cost |qi_cost |features                                           |functions                                                                                       |tier |freq 
'Acrobatic Charging Claw'                  |2        |-1          |25    |25       |3          |26        |60        |25      |{'charging', 'acrobatic', 'claw'}                  |['do_agility_based_dam', 'do_strength_based_dam']                                               |3    |1    
'Acrobatic Charging Debilitating Claw'     |2        |-1          |25    |25       |3          |26        |60        |75      |{'acrobatic', 'charging', 'debilitating', 'claw'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Elbow'    |2        |-1          |32    |25       |3          |38        |72        |75      |{'acrobatic', 'charging', 'debilitating', 'elbow'} |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Headbutt' |2        |-1          |33    |20       |3          |28        |72        |75      |{'acrobatic', 'charging', 'debilitating', 'head'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Kick'     |3        |-1          |30    |30       |4          |41        |84        |75      |{'acrobatic', 'charging', 'debilitating', 'kick'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Knee'     |2        |-1          |32    |25       |4          |35        |84        |75      |{'debilitating', 'charging', 'knee', 'acrobatic'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Palm'     |2        |-1          |23    |26       |3          |26        |60        |75      |{'acrobatic', 'charging', 'debilitating', 'palm'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Punch'    |2        |-1          |26    |23       |3          |28        |60        |75      |{'acrobatic', 'charging', 'debilitating', 'punch'} |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Elbow'                 |2        |-1          |32    |25       |3          |38        |72        |25      |{'charging', 'acrobatic', 'elbow'}                 |['do_agility_based_dam', 'do_strength_based_dam']                                               |3    |1    
'Acrobatic Charging Energy Claw'           |2        |-1          |25    |25       |3          |26        |60        |45      |{'charging', 'acrobatic', 'claw', 'energy'}        |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']                            |5    |1    
'Acrobatic Charging Energy Elbow'          |2        |-1          |32    |25       |3          |38        |72        |45      |{'charging', 'acrobatic', 'elbow', 'energy'}       |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']                            |5    |1    
