# name                                     |distance |dist_change |power |accuracy |complexity |stam_cost |time_cost |qi_cost |features                                           |functions                                                                                       |tier |freq 
'Acrobatic Charging Claw'                  |2        |-1          |25    |25       |3          |26        |60        |25      |{'acrobatic', 'charging', 'claw'}                  |['do_agility_based_dam', 'do_strength_based_dam']                                               |3    |1    
'Acrobatic Charging Debilitating Claw'     |2        |-1          |25    |25       |3          |26        |60        |75      |{'acrobatic', 'debilitating', 'charging', 'claw'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Elbow'    |2        |-1          |32    |25       |3          |38        |72        |75      |{'elbow', 'acrobatic', 'charging', 'debilitating'} |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Headbutt' |2        |-1          |33    |20       |3          |28        |72        |75      |{'head', 'acrobatic', 'charging', 'debilitating'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Kick'     |3        |-1          |30    |30       |4          |41        |84        |75      |{'kick', 'acrobatic', 'charging', 'debilitating'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Knee'     |2        |-1          |32    |25       |4          |35        |84        |75      |{'acrobatic', 'charging', 'knee', 'debilitating'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Palm'     |2        |-1          |23    |26       |3          |26        |60        |75      |{'acrobatic', 'charging', 'palm', 'debilitating'}  |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Debilitating Punch'    |2        |-1          |26    |23       |3          |28        |60        |75      |{'punch', 'acrobatic', 'charging', 'debilitating'} |['do_shock_move', 'do_stam_dam', 'do_mob_dam', 'do_agility_based_dam', 'do_strength_based_dam'] |7    |1    
'Acrobatic Charging Elbow'                 |2        |-1          |32    |25       |3          |38        |72        |25      |{'elbow', 'charging', 'acrobatic'}                 |['do_agility_based_dam', 'do_strength_based_dam']                                               |3    |1    
'Acrobatic Charging Energy Claw'           |2        |-1          |25    |25       |3          |26        |60        |45      |{'acrobatic', 'energy', 'charging', 'claw'}        |['do_qi_based_dam', 'do_agility_based_dam', 'do_strength_based_dam']                            |5    |1    
