# name                        |distance |dist_change |power |accuracy |complexity |stam_cost |time_cost |qi_cost |features                           |functions                                                                                |tier |freq 
'Acrobatic Charging Claw'     |2        |-1          |23    |23       |3          |26        |60        |25      |{'claw', 'charging', 'acrobatic'}  |['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam']                      |5    |1    
'Acrobatic Charging Elbow'    |2        |-1          |30    |25       |3          |38        |72        |25      |{'elbow', 'charging', 'acrobatic'} |['do_agility_based_dam', 'do_strength_based_dam']                                        |5    |1    
'Acrobatic Charging Headbutt' |2        |-1          |33    |24       |3          |28        |72        |25      |{'acrobatic', 'charging', 'head'}  |['do_agility_based_dam', 'do_strength_based_dam']                                        |5    |1    
'Acrobatic Charging Kick'     |3        |-1          |27    |23       |4          |41        |84        |25      |{'kick', 'charging', 'acrobatic'}  |['do_agility_based_dam', 'do_strength_based_dam']                                        |5    |2    
'Acrobatic Charging Knee'     |2        |-1          |32    |25       |4          |35        |84        |25      |{'knee', 'charging', 'acrobatic'}  |['do_agility_based_dam', 'do_strength_based_dam']                                        |5    |1    
'Acrobatic Charging Palm'     |2        |-1          |24    |26       |3          |26        |58        |25      |{'palm', 'charging', 'acrobatic'}  |['do_agility_based_dam', 'do_strength_based_dam']                                        |5    |1    
'Acrobatic Charging Punch'    |2        |-1          |26    |24       |3          |28        |60        |25      |{'charging', 'punch', 'acrobatic'} |['do_agility_based_dam', 'do_strength_based_dam']                                        |5    |2    
'Acrobatic Claw'              |1        |0           |23    |23       |3          |24        |50        |15      |{'claw', 'acrobatic'}              |['cause_bleeding', 'do_agility_based_dam', 'do_strength_based_dam']                      |3    |1    
'Acrobatic Drunken Claw'      |1        |0           |23    |23       |4          |24        |50        |20      |{'drunken', 'claw', 'acrobatic'}   |['cause_bleeding', 'cause_off_balance', 'do_agility_based_dam', 'do_strength_based_dam'] |4    |1    
'Acrobatic Drunken Elbow'     |1        |0           |30    |25       |4          |34        |60        |20      |{'elbow', 'drunken', 'acrobatic'}  |['cause_off_balance', 'do_agility_based_dam', 'do_strength_based_dam']                   |4    |1    
'Acrobatic Drunken Headbutt'  |1        |0           |33    |24       |4          |25        |60        |20      |{'drunken', 'acrobatic', 'head'}   |['cause_off_balance', 'do_agility_based_dam', 'do_strength_based_dam']                   |4    |1    
'Acrobatic Drunken Kick'      |3        |0           |27    |23       |5          |38        |70        |20      |{'drunken', 'kick', 'acrobatic'}   |['cause_off_balance', 'do_agility_based_dam', 'do_strength_based_dam']                   |4    |3    
'Acrobatic Drunken Knee'      |1        |0           |32    |25       |5          |31        |70        |20      |{'drunken', 'knee', 'acrobatic'}   |['cause_off_balance', 'do_agility_based_dam', 'do_strength_based_dam']                   |4    |1    
